Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B,Modelo_C
35,Toyota,468,COROLLA,2021,COROLLA,,
35,Toyota,468,COROLLA,2020,COROLLA,,
35,Toyota,468,COROLLA,2019,COROLLA,,
35,Toyota,468,COROLLA,2018,COROLLA,,
35,Toyota,468,COROLLA,2017,COROLLA,,
35,Toyota,468,COROLLA,2016,COROLLA,,
35,Toyota,468,COROLLA,2015,COROLLA,,
35,Toyota,468,COROLLA,2014,COROLLA,,
35,Toyota,468,COROLLA,2013,COROLLA,,
35,Toyota,468,COROLLA,2012,COROLLA,,
35,Toyota,468,COROLLA,2011,COROLLA,,
35,Toyota,468,COROLLA,2010,COROLLA,,
35,Toyota,468,COROLLA,2009,COROLLA,,
35,Toyota,468,COROLLA,2008,COROLLA,,
35,Toyota,468,COROLLA,2007,COROLLA,,
35,Toyota,468,COROLLA,2006,COROLLA,,
35,Toyota,468,COROLLA,2005,COROLLA,,
35,Toyota,468,COROLLA,2004,COROLLA,,
